description,amount
Uber from airport to client office,$45.00
Staples printer paper and toner,$87.50
Team lunch at Thai restaurant,$124.00
Adobe Creative Cloud monthly subscription,$54.99
Consulting fee - tax advisor,$350.00
Electricity bill - March,$215.40
Google Ads campaign - Q1,$500.00
New monitor for reception desk,$329.00
Flight to Melbourne for conference,$412.00
Coffee and muffins for morning meeting,$32.50
Zoom Pro annual subscription,$159.90
FedEx overnight shipping to client,$28.75
Uber Eats delivery for late-night team work,$67.80
LinkedIn Premium recruitment subscription,$79.99
Office chair replacement,$449.00
Client dinner at steakhouse,$186.00
Dropbox Business annual plan,$150.00
Taxi to networking event,$22.00
Staff training workshop registration,$275.00
Parking at courthouse for client matter,$18.00
iPhone screen repair (work phone),$89.00
Coffee with potential client at cafe,$12.50
